layer,table_name,row_count
gold,dim_date,5463
gold,dim_host,15297
gold,dim_location,294
gold,dim_property,40255
gold,dim_platform,3
gold,dim_neighbourhood_geo,336
gold,bridge_property_platform,40255
gold,fact_listing_snapshot,40255
gold,fact_calendar_daily,14693092
gold,fact_reviews,2799660
gold,financial_assumptions,40255
gold,fact_financial_projection,483060
gold,mart_neighbourhood_snapshot,294
gold,mart_property_profitability,40255
gold,mart_neighbourhood_profitability,294
gold,ml_training_base,40255
silver,clean_master_listings,40255
