occupancy_bucket,model_variant,rows,actual_mean_occupancy,r2,rmse,mae
low_occupancy,A_hgb_baseline,538,0.3112084330600397,-1.0549372452861014,0.10257521047871002,0.07635384793640664
low_occupancy,B_xgb_baseline,538,0.3112084330600397,-1.0802753842765163,0.10320566819812668,0.07721430946579898
low_occupancy,C_catboost_baseline,538,0.3112084330600397,-1.170008286693378,0.10540806260342603,0.08080949163114262
low_occupancy,D_hgb_plus_price_gap,538,0.3112084330600397,-1.0655815965361044,0.10284053155139125,0.07628802051219703
low_occupancy,E_xgb_plus_price_gap,538,0.3112084330600397,-1.088063331863522,0.10339867376944008,0.07705968759436832
low_occupancy,F_catboost_plus_price_gap,538,0.3112084330600397,-1.1467969377450005,0.1048428018143215,0.08065557519922274
low_occupancy,G_xgb_logit_plus_price_gap,538,0.3112084330600397,-1.0189228896054487,0.10167238257796263,0.07491003242530704
low_occupancy,H_xgb_hgb_blend_plus_price_gap,538,0.3112084330600397,-1.0595889140902894,0.10269124229173235,0.07631567369097794
low_occupancy,I_dynamic_top_model_blend,538,0.3112084330600397,-1.0243975309059739,0.10181013994275731,0.07518744815524048
medium_high_occupancy,A_hgb_baseline,980,0.6809505171931786,-4.207621936491948,0.07495111986372009,0.04931049311009469
medium_high_occupancy,B_xgb_baseline,980,0.6809505171931786,-4.360820991865245,0.07604559373222917,0.05038755221684486
medium_high_occupancy,C_catboost_baseline,980,0.6809505171931786,-4.4853739581369885,0.0769239403543873,0.05220733489603313
medium_high_occupancy,D_hgb_plus_price_gap,980,0.6809505171931786,-4.230441340015773,0.07511515541762918,0.04945042171728527
medium_high_occupancy,E_xgb_plus_price_gap,980,0.6809505171931786,-4.179675499537714,0.07474973864782045,0.049558178892190954
medium_high_occupancy,F_catboost_plus_price_gap,980,0.6809505171931786,-4.426497817439192,0.07651000293067213,0.05182111557932679
medium_high_occupancy,G_xgb_logit_plus_price_gap,980,0.6809505171931786,-4.101784084488387,0.07418557028589431,0.048721632394572036
medium_high_occupancy,H_xgb_hgb_blend_plus_price_gap,980,0.6809505171931786,-4.127154932535219,0.07436980159066357,0.04909761677819665
medium_high_occupancy,I_dynamic_top_model_blend,980,0.6809505171931786,-4.109521445351936,0.07424180385550243,0.04879194939170058
medium_low_occupancy,A_hgb_baseline,483,0.4989477863807822,-1.9424641929671775,0.07849811033024058,0.0599533314810106
medium_low_occupancy,B_xgb_baseline,483,0.4989477863807822,-1.950660826500719,0.07860736786757798,0.06091354272218092
medium_low_occupancy,C_catboost_baseline,483,0.4989477863807822,-1.9652098224830334,0.07880092653726412,0.06264614530246478
medium_low_occupancy,D_hgb_plus_price_gap,483,0.4989477863807822,-1.9604650632803353,0.07873785492792346,0.060275724085481396
medium_low_occupancy,E_xgb_plus_price_gap,483,0.4989477863807822,-2.040475116798535,0.07979475316677022,0.061855110202273404
medium_low_occupancy,F_catboost_plus_price_gap,483,0.4989477863807822,-1.9087234626773149,0.0780467505252708,0.060917359401423295
medium_low_occupancy,G_xgb_logit_plus_price_gap,483,0.4989477863807822,-2.1090812781104185,0.08068998722041754,0.06182611183529322
medium_low_occupancy,H_xgb_hgb_blend_plus_price_gap,483,0.4989477863807822,-1.9635942346367314,0.07877945635932462,0.06075104519948165
medium_low_occupancy,I_dynamic_top_model_blend,483,0.4989477863807822,-2.005445871482086,0.0793337647844187,0.060979268928007514
